Date,Time,Currency,Mean-value,Buy,Sell
10/11/2016,12:00:00 AM,US DOLLAR,101.28,101.19,101.38
10/13/2016,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
10/13/2016,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
10/13/2016,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
10/13/2016,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
10/13/2016,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
10/15/2016,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
10/16/2016,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
10/17/2016,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
10/18/2016,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
10/19/2016,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
10/19/2016,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
11/1/2016,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
11/1/2016,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
11/1/2016,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
11/1/2016,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
11/9/2016,12:00:00 AM,US DOLLAR,101.72,101.62,101.82
11/10/2016,12:00:00 AM,US DOLLAR,101.7,101.6,101.8
11/11/2016,12:00:00 AM,US DOLLAR,101.7,101.61,101.8
11/14/2016,12:00:00 AM,US DOLLAR,101.74,101.64,101.84
11/15/2016,12:00:00 AM,US DOLLAR,101.77,101.67,101.86
11/16/2016,12:00:00 AM,US DOLLAR,101.77,101.67,101.87
11/17/2016,12:00:00 AM,US DOLLAR,101.85,101.75,101.95
11/18/2016,12:00:00 AM,US DOLLAR,101.83,101.73,101.93
11/21/2016,12:00:00 AM,US DOLLAR,101.84,101.75,101.94
11/22/2016,12:00:00 AM,US DOLLAR,101.86,101.76,101.96
11/23/2016,12:00:00 AM,US DOLLAR,101.85,101.75,101.95
11/24/2016,12:00:00 AM,US DOLLAR,101.86,101.76,101.96
11/24/2016,12:00:00 AM,US DOLLAR,101.86,101.76,101.96
11/23/2016,12:00:00 AM,US DOLLAR,101.85,101.75,101.95
11/28/2016,12:00:00 AM,US DOLLAR,101.89,101.79,101.99
11/28/2016,12:00:00 AM,US DOLLAR,101.89,101.79,101.99
11/29/2016,12:00:00 AM,US DOLLAR,101.88,101.78,101.98
11/30/2016,12:00:00 AM,US DOLLAR,101.88,101.78,101.97
12/1/2016,12:00:00 AM,US DOLLAR,101.85,101.75,101.95
12/2/2016,12:00:00 AM,US DOLLAR,101.86,101.76,101.95
12/5/2016,12:00:00 AM,US DOLLAR,101.87,101.77,101.97
12/6/2016,12:00:00 AM,US DOLLAR,101.87,101.77,101.97
12/7/2016,12:00:00 AM,US DOLLAR,101.91,101.81,102.01
12/8/2016,12:00:00 AM,US DOLLAR,101.97,101.88,102.07
12/9/2016,12:00:00 AM,US DOLLAR,101.97,101.87,102.07
12/13/2016,12:00:00 AM,US DOLLAR,102.08,101.98,102.18
12/14/2016,12:00:00 AM,US DOLLAR,102.1,102,102.2
12/15/2016,12:00:00 AM,US DOLLAR,102.1,102,102.2
12/16/2016,12:00:00 AM,US DOLLAR,102.19,102.09,102.29
12/19/2016,12:00:00 AM,US DOLLAR,102.2,102.1,102.3
12/20/2016,12:00:00 AM,US DOLLAR,102.24,102.14,102.34
12/20/2016,12:00:00 AM,US DOLLAR,102.24,102.14,102.34
12/21/2016,12:00:00 AM,US DOLLAR,102.3,102.21,102.4
12/22/2016,12:00:00 AM,US DOLLAR,102.35,102.25,102.45
12/23/2016,12:00:00 AM,US DOLLAR,102.36,102.26,102.46
12/28/2016,12:00:00 AM,US DOLLAR,102.36,102.26,102.46
12/29/2016,12:00:00 AM,US DOLLAR,102.44,102.34,102.54
12/30/2016,12:00:00 AM,US DOLLAR,102.49,102.39,102.58
1/3/2017,12:00:00 AM,US DOLLAR,102.56,102.46,102.66
1/3/2017,12:00:00 AM,US DOLLAR,102.56,102.46,102.66
1/4/2017,12:00:00 AM,US DOLLAR,102.81,102.72,102.91
1/5/2017,12:00:00 AM,US DOLLAR,103.47,103.37,103.57
1/6/2017,12:00:00 AM,US DOLLAR,103.61,103.51,103.71
1/9/2017,12:00:00 AM,US DOLLAR,103.66,103.56,103.76
1/10/2017,12:00:00 AM,US DOLLAR,103.81,103.71,103.91
1/11/2017,12:00:00 AM,US DOLLAR,103.84,103.74,103.94
1/12/2017,12:00:00 AM,US DOLLAR,103.83,103.73,103.93
1/13/2017,12:00:00 AM,US DOLLAR,103.88,103.78,103.98
1/16/2017,12:00:00 AM,US DOLLAR,103.92,103.79,104.04
1/17/2017,12:00:00 AM,US DOLLAR,103.93,103.83,104.03
1/18/2017,12:00:00 AM,US DOLLAR,103.96,103.86,104.06
1/19/2017,12:00:00 AM,US DOLLAR,103.95,103.85,104.05
1/20/2017,12:00:00 AM,US DOLLAR,103.83,103.73,103.93
1/23/2017,12:00:00 AM,US DOLLAR,103.8,103.7,103.9
1/24/2017,12:00:00 AM,US DOLLAR,103.95,103.85,104.05
1/25/2017,12:00:00 AM,US DOLLAR,103.99,103.89,104.09
1/26/2017,12:00:00 AM,US DOLLAR,104,103.9,104.1
1/27/2017,12:00:00 AM,US DOLLAR,103.96,103.86,104.06
1/30/2017,12:00:00 AM,US DOLLAR,103.97,103.87,104.07
1/31/2017,12:00:00 AM,US DOLLAR,103.96,103.86,104.06
2/1/2017,12:00:00 AM,US DOLLAR,103.86,103.76,103.96
2/2/2017,12:00:00 AM,US DOLLAR,103.82,103.72,103.92
2/3/2017,12:00:00 AM,US DOLLAR,103.81,103.71,103.91
2/6/2017,12:00:00 AM,US DOLLAR,103.76,103.66,103.86
2/7/2017,12:00:00 AM,US DOLLAR,103.69,103.59,103.79
2/8/2017,12:00:00 AM,US DOLLAR,103.7,103.6,103.8
2/9/2017,12:00:00 AM,US DOLLAR,103.7,103.6,103.8
2/10/2017,12:00:00 AM,US DOLLAR,103.53,103.43,103.63
2/13/2017,12:00:00 AM,US DOLLAR,103.63,103.53,103.73
2/13/2017,12:00:00 AM,US DOLLAR,103.63,103.53,103.73
2/14/2017,12:00:00 AM,US DOLLAR,103.67,103.57,103.77
2/15/2017,12:00:00 AM,US DOLLAR,103.66,103.56,103.76
2/16/2017,12:00:00 AM,US DOLLAR,103.65,103.55,103.75
2/17/2017,12:00:00 AM,US DOLLAR,103.65,103.55,103.75
2/20/2017,12:00:00 AM,US DOLLAR,103.62,103.52,103.72
2/21/2017,12:00:00 AM,US DOLLAR,103.58,103.48,103.68
2/22/2017,12:00:00 AM,US DOLLAR,103.58,103.48,103.68
2/22/2017,12:00:00 AM,US DOLLAR,103.58,103.48,103.68
2/23/2017,12:00:00 AM,US DOLLAR,103.59,103.49,103.69
2/24/2017,12:00:00 AM,US DOLLAR,103.55,103.45,103.65
2/27/2017,12:00:00 AM,US DOLLAR,103.47,103.37,103.57
2/28/2017,12:00:00 AM,US DOLLAR,103.34,103.24,103.44
3/1/2017,12:00:00 AM,US DOLLAR,102.98,102.88,103.08
3/2/2017,12:00:00 AM,US DOLLAR,102.83,102.73,102.93
3/3/2017,12:00:00 AM,US DOLLAR,102.88,102.78,102.98
3/6/2017,12:00:00 AM,US DOLLAR,102.65,102.55,102.75
3/7/2017,12:00:00 AM,US DOLLAR,102.64,102.54,102.74
3/8/2017,12:00:00 AM,US DOLLAR,102.62,102.52,102.72
3/9/2017,12:00:00 AM,US DOLLAR,102.56,102.46,102.66
3/10/2017,12:00:00 AM,US DOLLAR,102.56,102.46,102.66
3/13/2017,12:00:00 AM,US DOLLAR,102.62,102.52,102.72
3/14/2017,12:00:00 AM,US DOLLAR,102.67,102.57,102.77
3/15/2017,12:00:00 AM,US DOLLAR,102.81,102.71,102.91
3/16/2017,12:00:00 AM,US DOLLAR,102.89,102.79,102.99
3/17/2017,12:00:00 AM,US DOLLAR,103.03,102.93,103.13
3/20/2017,12:00:00 AM,US DOLLAR,103.11,103.01,103.21
3/21/2017,12:00:00 AM,US DOLLAR,103.11,103.01,103.21
3/22/2017,12:00:00 AM,US DOLLAR,103.11,103.01,103.21
3/23/2017,12:00:00 AM,US DOLLAR,102.9,102.8,103
3/24/2017,12:00:00 AM,US DOLLAR,102.95,102.85,103.05
3/27/2017,12:00:00 AM,US DOLLAR,102.91,102.81,103.01
3/28/2017,12:00:00 AM,US DOLLAR,102.71,102.91,102.81
3/29/2017,12:00:00 AM,US DOLLAR,102.95,102.85,103.05
3/30/2017,12:00:00 AM,US DOLLAR,103.02,102.92,103.12
3/31/2017,12:00:00 AM,US DOLLAR,103,102.9,103.1
4/3/2017,12:00:00 AM,US DOLLAR,103.1,103,103.2
4/4/2017,12:00:00 AM,US DOLLAR,103.19,103.09,103.29
4/5/2017,12:00:00 AM,US DOLLAR,103.24,103.14,103.34
4/6/2017,12:00:00 AM,US DOLLAR,103.28,103.18,103.38
4/7/2017,12:00:00 AM,US DOLLAR,103.44,103.34,103.54
4/10/2017,12:00:00 AM,US DOLLAR,103.39,103.29,103.49
4/11/2017,12:00:00 AM,US DOLLAR,103.44,103.34,103.54
4/12/2017,12:00:00 AM,US DOLLAR,103.42,103.32,103.52
4/13/2017,12:00:00 AM,US DOLLAR,103.41,103.31,103.51
4/18/2017,12:00:00 AM,US DOLLAR,103.36,103.26,103.46
4/19/2017,12:00:00 AM,US DOLLAR,103.43,103.33,103.53
4/20/2017,12:00:00 AM,US DOLLAR,103.41,103.31,103.51
4/21/2017,12:00:00 AM,US DOLLAR,103.38,103.28,103.48
4/24/2017,12:00:00 AM,US DOLLAR,103.32,103.22,103.43
4/25/2017,12:00:00 AM,US DOLLAR,103.27,103.17,103.37
4/26/2017,12:00:00 AM,US DOLLAR,103.27,103.17,103.37
4/27/2017,12:00:00 AM,US DOLLAR,103.28,103.18,103.38
4/28/2017,12:00:00 AM,US DOLLAR,103.22,103.12,103.32
5/2/2017,12:00:00 AM,US DOLLAR,103.15,103.05,103.25
