Date.1,Time,Mean-value,Month,Day,Week-of-year,Quarter,Day-of-week
10/11/2016,12:00:00 AM,101.28,10,11,42,4,2
10/13/2016,12:00:00 AM,101.3,10,13,42,4,4
10/13/2016,12:00:00 AM,101.3,10,13,42,4,4
10/13/2016,12:00:00 AM,101.3,10,13,42,4,4
10/13/2016,12:00:00 AM,101.3,10,13,42,4,4
10/13/2016,12:00:00 AM,101.3,10,13,42,4,4
10/15/2016,12:00:00 AM,101.3,10,15,42,4,6
10/16/2016,12:00:00 AM,101.3,10,16,43,4,0
10/17/2016,12:00:00 AM,101.3,10,17,43,4,1
10/18/2016,12:00:00 AM,101.3,10,18,43,4,2
10/19/2016,12:00:00 AM,101.3,10,19,43,4,3
10/19/2016,12:00:00 AM,101.3,10,19,43,4,3
11/1/2016,12:00:00 AM,101.3,11,1,45,4,2
11/1/2016,12:00:00 AM,101.3,11,1,45,4,2
11/1/2016,12:00:00 AM,101.3,11,1,45,4,2
11/1/2016,12:00:00 AM,101.3,11,1,45,4,2
11/9/2016,12:00:00 AM,101.72,11,9,46,4,3
11/10/2016,12:00:00 AM,101.7,11,10,46,4,4
11/11/2016,12:00:00 AM,101.7,11,11,46,4,5
11/14/2016,12:00:00 AM,101.74,11,14,47,4,1
11/15/2016,12:00:00 AM,101.77,11,15,47,4,2
11/16/2016,12:00:00 AM,101.77,11,16,47,4,3
11/17/2016,12:00:00 AM,101.85,11,17,47,4,4
11/18/2016,12:00:00 AM,101.83,11,18,47,4,5
11/21/2016,12:00:00 AM,101.84,11,21,48,4,1
11/22/2016,12:00:00 AM,101.86,11,22,48,4,2
11/23/2016,12:00:00 AM,101.85,11,23,48,4,3
11/24/2016,12:00:00 AM,101.86,11,24,48,4,4
11/24/2016,12:00:00 AM,101.86,11,24,48,4,4
11/23/2016,12:00:00 AM,101.85,11,23,48,4,3
11/28/2016,12:00:00 AM,101.89,11,28,49,4,1
11/28/2016,12:00:00 AM,101.89,11,28,49,4,1
11/29/2016,12:00:00 AM,101.88,11,29,49,4,2
11/30/2016,12:00:00 AM,101.88,11,30,49,4,3
12/1/2016,12:00:00 AM,101.85,12,1,49,4,4
12/2/2016,12:00:00 AM,101.86,12,2,49,4,5
12/5/2016,12:00:00 AM,101.87,12,5,50,4,1
12/6/2016,12:00:00 AM,101.87,12,6,50,4,2
12/7/2016,12:00:00 AM,101.91,12,7,50,4,3
12/8/2016,12:00:00 AM,101.97,12,8,50,4,4
12/9/2016,12:00:00 AM,101.97,12,9,50,4,5
12/13/2016,12:00:00 AM,102.08,12,13,51,4,2
12/14/2016,12:00:00 AM,102.1,12,14,51,4,3
12/15/2016,12:00:00 AM,102.1,12,15,51,4,4
12/16/2016,12:00:00 AM,102.19,12,16,51,4,5
12/19/2016,12:00:00 AM,102.2,12,19,52,4,1
12/20/2016,12:00:00 AM,102.24,12,20,52,4,2
12/20/2016,12:00:00 AM,102.24,12,20,52,4,2
12/21/2016,12:00:00 AM,102.3,12,21,52,4,3
12/22/2016,12:00:00 AM,102.35,12,22,52,4,4
12/23/2016,12:00:00 AM,102.36,12,23,52,4,5
12/28/2016,12:00:00 AM,102.36,12,28,53,4,3
12/29/2016,12:00:00 AM,102.44,12,29,53,4,4
12/30/2016,12:00:00 AM,102.49,12,30,53,4,5
1/3/2017,12:00:00 AM,102.56,1,3,1,1,2
1/3/2017,12:00:00 AM,102.56,1,3,1,1,2
1/4/2017,12:00:00 AM,102.81,1,4,1,1,3
1/5/2017,12:00:00 AM,103.47,1,5,1,1,4
1/6/2017,12:00:00 AM,103.61,1,6,1,1,5
1/9/2017,12:00:00 AM,103.66,1,9,2,1,1
1/10/2017,12:00:00 AM,103.81,1,10,2,1,2
1/11/2017,12:00:00 AM,103.84,1,11,2,1,3
1/12/2017,12:00:00 AM,103.83,1,12,2,1,4
1/13/2017,12:00:00 AM,103.88,1,13,2,1,5
1/16/2017,12:00:00 AM,103.92,1,16,3,1,1
1/17/2017,12:00:00 AM,103.93,1,17,3,1,2
1/18/2017,12:00:00 AM,103.96,1,18,3,1,3
1/19/2017,12:00:00 AM,103.95,1,19,3,1,4
1/20/2017,12:00:00 AM,103.83,1,20,3,1,5
1/23/2017,12:00:00 AM,103.8,1,23,4,1,1
1/24/2017,12:00:00 AM,103.95,1,24,4,1,2
1/25/2017,12:00:00 AM,103.99,1,25,4,1,3
1/26/2017,12:00:00 AM,104,1,26,4,1,4
1/27/2017,12:00:00 AM,103.96,1,27,4,1,5
1/30/2017,12:00:00 AM,103.97,1,30,5,1,1
1/31/2017,12:00:00 AM,103.96,1,31,5,1,2
2/1/2017,12:00:00 AM,103.86,2,1,5,1,3
2/2/2017,12:00:00 AM,103.82,2,2,5,1,4
2/3/2017,12:00:00 AM,103.81,2,3,5,1,5
2/6/2017,12:00:00 AM,103.76,2,6,6,1,1
2/7/2017,12:00:00 AM,103.69,2,7,6,1,2
2/8/2017,12:00:00 AM,103.7,2,8,6,1,3
2/9/2017,12:00:00 AM,103.7,2,9,6,1,4
2/10/2017,12:00:00 AM,103.53,2,10,6,1,5
2/13/2017,12:00:00 AM,103.63,2,13,7,1,1
2/13/2017,12:00:00 AM,103.63,2,13,7,1,1
2/14/2017,12:00:00 AM,103.67,2,14,7,1,2
2/15/2017,12:00:00 AM,103.66,2,15,7,1,3
2/16/2017,12:00:00 AM,103.65,2,16,7,1,4
2/17/2017,12:00:00 AM,103.65,2,17,7,1,5
2/20/2017,12:00:00 AM,103.62,2,20,8,1,1
2/21/2017,12:00:00 AM,103.58,2,21,8,1,2
2/22/2017,12:00:00 AM,103.58,2,22,8,1,3
2/22/2017,12:00:00 AM,103.58,2,22,8,1,3
2/23/2017,12:00:00 AM,103.59,2,23,8,1,4
2/24/2017,12:00:00 AM,103.55,2,24,8,1,5
2/27/2017,12:00:00 AM,103.47,2,27,9,1,1
2/28/2017,12:00:00 AM,103.34,2,28,9,1,2
3/1/2017,12:00:00 AM,102.98,3,1,9,1,3
