Date,Mean-value_x,Interest-rate,Month,Year,Quarter,Week-of-year,Week-of-month,Day-of-week,Day-of-year,election-year,Mean-value_y,preds
10/13/2016,101.3,0.66,10.0,2016.0,4.0,42.0,3.0,4.0,287.0,0,101.3,101.29999999999997
11/23/2016,101.85,0.8,11.0,2016.0,4.0,48.0,4.0,3.0,328.0,0,101.85,101.85310000000014
12/1/2016,101.85,0.82,12.0,2016.0,4.0,49.0,1.0,4.0,336.0,0,101.85,101.88190000000003
12/2/2016,101.86,0.8,12.0,2016.0,4.0,49.0,1.0,5.0,337.0,0,101.86,101.88519999999998
12/6/2016,101.87,0.83,12.0,2016.0,4.0,50.0,2.0,2.0,341.0,0,101.87,101.8819
12/22/2016,102.35,0.87,12.0,2016.0,4.0,52.0,4.0,4.0,357.0,0,102.35,102.13769999999997
12/23/2016,102.36,0.87,12.0,2016.0,4.0,52.0,4.0,5.0,358.0,0,102.36,102.06389999999996
1/3/2017,102.56,0.89,1.0,2017.0,1.0,1.0,1.0,2.0,3.0,1,102.56,105.28890000000006
1/4/2017,102.81,0.87,1.0,2017.0,1.0,1.0,1.0,3.0,4.0,1,102.81,104.48429999999995
1/11/2017,103.84,0.82,1.0,2017.0,1.0,2.0,2.0,3.0,11.0,1,103.84,103.79419999999999
1/17/2017,103.93,0.8,1.0,2017.0,1.0,3.0,3.0,2.0,17.0,1,103.93,103.9059999999999
1/23/2017,103.8,0.79,1.0,2017.0,1.0,4.0,4.0,1.0,23.0,1,103.8,104.28869999999999
1/25/2017,103.99,0.82,1.0,2017.0,1.0,4.0,4.0,3.0,25.0,1,103.99,103.95030000000003
1/27/2017,103.96,0.82,1.0,2017.0,1.0,4.0,4.0,5.0,27.0,1,103.96,103.90659999999998
1/31/2017,103.96,0.84,1.0,2017.0,1.0,5.0,5.0,2.0,31.0,1,103.96,103.89479999999999
2/1/2017,103.86,0.83,2.0,2017.0,1.0,5.0,1.0,3.0,32.0,1,103.86,104.02849999999998
2/2/2017,103.82,0.84,2.0,2017.0,1.0,5.0,1.0,4.0,33.0,1,103.82,104.05679999999998
2/6/2017,103.76,0.79,2.0,2017.0,1.0,6.0,2.0,1.0,37.0,1,103.76,104.68029999999997
