Date,Time,Currency,Mean-value,Buy,Sell
2016-10-11,12:00:00 AM,US DOLLAR,101.28,101.19,101.38
2016-10-13,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
2016-10-13,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
2016-10-13,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
2016-10-13,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
2016-10-13,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
2016-10-15,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
2016-10-16,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
2016-10-17,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
2016-10-18,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
2016-10-19,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
2016-10-19,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
2016-11-01,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
2016-11-01,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
2016-11-01,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
2016-11-01,12:00:00 AM,US DOLLAR,101.3,101.2,101.39
2016-11-09,12:00:00 AM,US DOLLAR,101.72,101.62,101.82
2016-11-10,12:00:00 AM,US DOLLAR,101.7,101.6,101.8
2016-11-11,12:00:00 AM,US DOLLAR,101.7,101.61,101.8
2016-11-14,12:00:00 AM,US DOLLAR,101.74,101.64,101.84
2016-11-15,12:00:00 AM,US DOLLAR,101.77,101.67,101.86
2016-11-16,12:00:00 AM,US DOLLAR,101.77,101.67,101.87
2016-11-17,12:00:00 AM,US DOLLAR,101.85,101.75,101.95
2016-11-18,12:00:00 AM,US DOLLAR,101.83,101.73,101.93
2016-11-21,12:00:00 AM,US DOLLAR,101.84,101.75,101.94
2016-11-22,12:00:00 AM,US DOLLAR,101.86,101.76,101.96
2016-11-23,12:00:00 AM,US DOLLAR,101.85,101.75,101.95
2016-11-24,12:00:00 AM,US DOLLAR,101.86,101.76,101.96
2016-11-24,12:00:00 AM,US DOLLAR,101.86,101.76,101.96
2016-11-23,12:00:00 AM,US DOLLAR,101.85,101.75,101.95
2016-11-28,12:00:00 AM,US DOLLAR,101.89,101.79,101.99
2016-11-28,12:00:00 AM,US DOLLAR,101.89,101.79,101.99
2016-11-29,12:00:00 AM,US DOLLAR,101.88,101.78,101.98
2016-11-30,12:00:00 AM,US DOLLAR,101.88,101.78,101.97
2016-12-01,12:00:00 AM,US DOLLAR,101.85,101.75,101.95
2016-12-02,12:00:00 AM,US DOLLAR,101.86,101.76,101.95
2016-12-05,12:00:00 AM,US DOLLAR,101.87,101.77,101.97
2016-12-06,12:00:00 AM,US DOLLAR,101.87,101.77,101.97
2016-12-07,12:00:00 AM,US DOLLAR,101.91,101.81,102.01
2016-12-08,12:00:00 AM,US DOLLAR,101.97,101.88,102.07
2016-12-09,12:00:00 AM,US DOLLAR,101.97,101.87,102.07
2016-12-13,12:00:00 AM,US DOLLAR,102.08,101.98,102.18
2016-12-14,12:00:00 AM,US DOLLAR,102.1,102.0,102.2
2016-12-15,12:00:00 AM,US DOLLAR,102.1,102.0,102.2
2016-12-16,12:00:00 AM,US DOLLAR,102.19,102.09,102.29
2016-12-19,12:00:00 AM,US DOLLAR,102.2,102.1,102.3
2016-12-20,12:00:00 AM,US DOLLAR,102.24,102.14,102.34
2016-12-20,12:00:00 AM,US DOLLAR,102.24,102.14,102.34
2016-12-21,12:00:00 AM,US DOLLAR,102.3,102.21,102.4
2016-12-22,12:00:00 AM,US DOLLAR,102.35,102.25,102.45
2016-12-23,12:00:00 AM,US DOLLAR,102.36,102.26,102.46
2016-12-28,12:00:00 AM,US DOLLAR,102.36,102.26,102.46
2016-12-29,12:00:00 AM,US DOLLAR,102.44,102.34,102.54
2016-12-30,12:00:00 AM,US DOLLAR,102.49,102.39,102.58
2017-01-03,12:00:00 AM,US DOLLAR,102.56,102.46,102.66
2017-01-03,12:00:00 AM,US DOLLAR,102.56,102.46,102.66
2017-01-04,12:00:00 AM,US DOLLAR,102.81,102.72,102.91
2017-01-05,12:00:00 AM,US DOLLAR,103.47,103.37,103.57
2017-01-06,12:00:00 AM,US DOLLAR,103.61,103.51,103.71
2017-01-09,12:00:00 AM,US DOLLAR,103.66,103.56,103.76
2017-01-10,12:00:00 AM,US DOLLAR,103.81,103.71,103.91
2017-01-11,12:00:00 AM,US DOLLAR,103.84,103.74,103.94
2017-01-12,12:00:00 AM,US DOLLAR,103.83,103.73,103.93
2017-01-13,12:00:00 AM,US DOLLAR,103.88,103.78,103.98
2017-01-16,12:00:00 AM,US DOLLAR,103.92,103.79,104.04
2017-01-17,12:00:00 AM,US DOLLAR,103.93,103.83,104.03
2017-01-18,12:00:00 AM,US DOLLAR,103.96,103.86,104.06
2017-01-19,12:00:00 AM,US DOLLAR,103.95,103.85,104.05
2017-01-20,12:00:00 AM,US DOLLAR,103.83,103.73,103.93
2017-01-23,12:00:00 AM,US DOLLAR,103.8,103.7,103.9
2017-01-24,12:00:00 AM,US DOLLAR,103.95,103.85,104.05
2017-01-25,12:00:00 AM,US DOLLAR,103.99,103.89,104.09
2017-01-26,12:00:00 AM,US DOLLAR,104.0,103.9,104.1
2017-01-27,12:00:00 AM,US DOLLAR,103.96,103.86,104.06
2017-01-30,12:00:00 AM,US DOLLAR,103.97,103.87,104.07
2017-01-31,12:00:00 AM,US DOLLAR,103.96,103.86,104.06
2017-02-01,12:00:00 AM,US DOLLAR,103.86,103.76,103.96
2017-02-02,12:00:00 AM,US DOLLAR,103.82,103.72,103.92
2017-02-03,12:00:00 AM,US DOLLAR,103.81,103.71,103.91
2017-02-06,12:00:00 AM,US DOLLAR,103.76,103.66,103.86
2017-02-07,12:00:00 AM,US DOLLAR,103.69,103.59,103.79
2017-02-08,12:00:00 AM,US DOLLAR,103.7,103.6,103.8
2017-02-09,12:00:00 AM,US DOLLAR,103.7,103.6,103.8
2017-02-10,12:00:00 AM,US DOLLAR,103.53,103.43,103.63
2017-02-13,12:00:00 AM,US DOLLAR,103.63,103.53,103.73
2017-02-13,12:00:00 AM,US DOLLAR,103.63,103.53,103.73
2017-02-14,12:00:00 AM,US DOLLAR,103.67,103.57,103.77
2017-02-15,12:00:00 AM,US DOLLAR,103.66,103.56,103.76
2017-02-16,12:00:00 AM,US DOLLAR,103.65,103.55,103.75
2017-02-17,12:00:00 AM,US DOLLAR,103.65,103.55,103.75
2017-02-20,12:00:00 AM,US DOLLAR,103.62,103.52,103.72
2017-02-21,12:00:00 AM,US DOLLAR,103.58,103.48,103.68
