Column1.1,Column3
10/11/2016,101.28
10/13/2016,101.3
10/13/2016,101.3
10/13/2016,101.3
10/13/2016,101.3
10/13/2016,101.3
10/15/2016,101.3
10/16/2016,101.3
10/17/2016,101.3
10/18/2016,101.3
10/19/2016,101.3
10/19/2016,101.3
11/1/2016,101.3
11/1/2016,101.3
11/1/2016,101.3
11/1/2016,101.3
11/9/2016,101.72
11/10/2016,101.7
11/11/2016,101.7
11/14/2016,101.74
11/15/2016,101.77
11/16/2016,101.77
11/17/2016,101.85
11/18/2016,101.83
11/21/2016,101.84
11/22/2016,101.86
11/23/2016,101.85
11/24/2016,101.86
11/24/2016,101.86
11/23/2016,101.85
11/28/2016,101.89
11/28/2016,101.89
11/29/2016,101.88
11/30/2016,101.88
12/1/2016,101.85
12/2/2016,101.86
12/5/2016,101.87
12/6/2016,101.87
12/7/2016,101.91
12/8/2016,101.97
12/9/2016,101.97
12/13/2016,102.08
12/14/2016,102.1
12/15/2016,102.1
12/16/2016,102.19
12/19/2016,102.2
12/20/2016,102.24
12/20/2016,102.24
12/21/2016,102.3
12/22/2016,102.35
12/23/2016,102.36
12/28/2016,102.36
12/29/2016,102.44
12/30/2016,102.49
1/3/2017,102.56
1/3/2017,102.56
1/4/2017,102.81
1/5/2017,103.47
1/6/2017,103.61
1/9/2017,103.66
1/10/2017,103.81
1/11/2017,103.84
1/12/2017,103.83
1/13/2017,103.88
1/16/2017,103.92
1/17/2017,103.93
1/18/2017,103.96
1/19/2017,103.95
1/20/2017,103.83
1/23/2017,103.8
1/24/2017,103.95
1/25/2017,103.99
1/26/2017,104
1/27/2017,103.96
1/30/2017,103.97
1/31/2017,103.96
2/1/2017,103.86
2/2/2017,103.82
2/3/2017,103.81
2/6/2017,103.76
2/7/2017,103.69
2/8/2017,103.7
2/9/2017,103.7
2/10/2017,103.53
2/13/2017,103.63
2/13/2017,103.63
2/14/2017,103.67
2/15/2017,103.66
2/16/2017,103.65
2/17/2017,103.65
2/20/2017,103.62
2/21/2017,103.58
2/22/2017,103.58
2/22/2017,103.58
2/23/2017,103.59
2/24/2017,103.55
2/27/2017,103.47
2/28/2017,103.34
3/1/2017,102.98
3/2/2017,102.83
3/3/2017,102.88
3/6/2017,102.65
3/7/2017,102.64
3/8/2017,102.62
3/9/2017,102.56
3/10/2017,102.56
3/13/2017,102.62
3/14/2017,102.67
3/15/2017,102.81
3/16/2017,102.89
3/17/2017,103.03
3/20/2017,103.11
3/21/2017,103.11
3/22/2017,103.11
3/23/2017,102.9
3/24/2017,102.95
3/27/2017,102.91
3/28/2017,102.71
3/29/2017,102.95
3/30/2017,103.02
3/31/2017,103
4/3/2017,103.1
4/4/2017,103.19
4/5/2017,103.24
4/6/2017,103.28
4/7/2017,103.44
4/10/2017,103.39
4/11/2017,103.44
4/12/2017,103.42
4/13/2017,103.41
4/18/2017,103.36
4/19/2017,103.43
4/20/2017,103.41
4/21/2017,103.38
4/24/2017,103.32
4/25/2017,103.27
4/26/2017,103.27
4/27/2017,103.28
4/28/2017,103.22
5/2/2017,103.15
5/3/2017,103.1
5/4/2017,103.09
5/5/2017,103.14
5/8/2017,103.14
5/9/2017,103.18
5/10/2017,103.2
5/11/2017,103.32
5/12/2017,103.38
5/15/2017,103.22
5/16/2017,103.23
5/17/2017,103.35
5/18/2017,103.34
5/19/2017,103.34
5/22/2017,103.31
5/23/2017,103.29
5/24/2017,103.3
5/25/2017,103.3
5/26/2017,103.31
5/29/2017,103.34
5/30/2017,103.36
5/31/2017,103.38
6/2/2017,103.35
6/5/2017,103.33
6/6/2017,103.36
6/7/2017,103.35
6/8/2017,103.32
6/9/2017,103.32
6/12/2017,103.32
6/13/2017,103.34
6/14/2017,103.37
6/15/2017,103.41
6/16/2017,103.55
6/19/2017,103.58
6/20/2017,103.62
6/21/2017,103.62
6/22/2017,103.63
6/23/2017,103.63
6/27/2017,103.67
6/28/2017,103.67
6/28/2017,103.67
6/29/2017,103.68
6/30/2017,103.71
7/3/2017,103.72
7/4/2017,103.81
7/5/2017,103.77
7/6/2017,103.78
7/7/2017,103.84
7/10/2017,103.84
7/11/2017,103.92
7/12/2017,104.02
7/13/2017,103.93
7/14/2017,103.89
7/17/2017,103.91
7/18/2017,103.91
7/19/2017,103.93
7/20/2017,103.95
7/21/2017,103.84
7/24/2017,103.87
7/25/2017,103.88
7/27/2017,103.9
7/28/2017,103.91
7/31/2017,103.91
8/1/2017,103.92
8/2/2017,103.87
8/3/2017,103.86
8/4/2017,103.87
8/7/2017,103.89
8/9/2017,103.9
8/10/2017,103.9
8/11/2017,103.9
8/14/2017,103.87
8/15/2017,103.76
